# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_unmatched_2.fastq -n GQ17b -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	GQ17b
ref_mOTU_v31_00312	Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	1318	797
ref_mOTU_v31_00313	Streptococcus sp. F0442	999425	3
ref_mOTU_v31_00379	Lautropia mirabilis	47671	4
ref_mOTU_v31_00567	Streptococcus anginosus	1328	1
ref_mOTU_v31_00571	Streptococcus intermedius	1338	1
ref_mOTU_v31_00938	Haemophilus influenzae	727	6
ref_mOTU_v31_00939	Haemophilus sp. [Haemophilus quentini/Haemophilus sp. CCUG 66565/Haemophilus haemolyticus/Haemophilus influenzae/Haemophilus sp. oral taxon 851]	NA	90
ref_mOTU_v31_00940	Haemophilus sp. C1	1661745	35
ref_mOTU_v31_00999	Fusobacterium periodonticum	860	40
ref_mOTU_v31_01001	Fusobacterium nucleatum subsp. animalis [Fusobacterium sp. CAG:649/Fusobacterium sp. HMSC065F01/Fusobacterium nucleatum/Fusobacterium sp. CM1]	851	1
ref_mOTU_v31_01002	Fusobacterium nucleatum subsp. vincentii [Fusobacterium sp. HMSC064B12/Fusobacterium nucleatum]	851	3
ref_mOTU_v31_01003	Fusobacterium nucleatum subsp. nucleatum	851	1
ref_mOTU_v31_01004	Fusobacterium hwasookii/nucleatum [Fusobacterium sp. OBRC1/Fusobacterium hwasookii/Fusobacterium sp. HMSC064B11/Fusobacterium nucleatum/Fusobacterium sp. CM22]	NA	2
ref_mOTU_v31_01068	Haemophilus parainfluenzae	729	84
ref_mOTU_v31_01073	Capnocytophaga sp. oral taxon 326	712212	7
ref_mOTU_v31_01074	Capnocytophaga sputigena	1019	8
ref_mOTU_v31_01078	Prevotella sp. oral taxon 473	712469	3
ref_mOTU_v31_01079	Prevotellaceae bacterium Marseille-P2826	1852368	3
ref_mOTU_v31_01100	Haemophilus sputorum	1078480	4
ref_mOTU_v31_01348	Streptococcus thermophilus [Streptococcus thermophilus CAG:236/Streptococcus thermophilus]	1308	3
ref_mOTU_v31_01349	Streptococcus salivarius [Streptococcus salivarius/Streptococcus sp. HSISS2/Streptococcus sp. HSISS3/Streptococcus sp. C150]	1304	6
ref_mOTU_v31_01350	Streptococcus salivarius	1304	1070
ref_mOTU_v31_01494	Morococcus cerebrosus [Morococcus cerebrosus/Neisseria sp. HMSC03D10/Neisseria sp. HMSC071C03/Neisseria sp. HMSC073B07/Neisseria sp. HMSC071B12]	1056807	4
ref_mOTU_v31_01495	Neisseria sicca/macacae [Neisseria sp. HMSC06F02/Neisseria sp. HMSC70E02/Neisseria sp. HMSC077D05/Neisseria sp. HMSC074B07/Neisseria sp. HMSC055H02/Neisseria sp. HMSC067H09/Neisseria sp. HMSC065D04/Neisseria sicca/Neisseria macacae/Neisseria sp. GT4A_CT1]	NA	44
ref_mOTU_v31_01496	Neisseriaceae sp. [Morococcus cerebrosus/Neisseria sp. HMSC15C08/Neisseria sp. HMSC059F02/Neisseria sp. HMSC055F11/Neisseria sp. HMSC064F04/Neisseria sp. HMSC070E12/Neisseria mucosa]	NA	5
ref_mOTU_v31_01497	Neisseria sp. HMSC072F04	1739348	4
ref_mOTU_v31_01498	Neisseria sp. HMSC064E01	1715052	7
ref_mOTU_v31_01499	Neisseria sicca	490	1
ref_mOTU_v31_01500	Neisseria sp. oral taxon 014	641148	9
ref_mOTU_v31_01538	Neisseria gonorrhoeae	485	2
ref_mOTU_v31_01539	Neisseria meningitidis [Neisseria sp. HMSC070F02/Neisseria meningitidis]	487	8
ref_mOTU_v31_01586	Eikenella corrodens [Eikenella sp. HMSC061C02/Eikenella corrodens]	539	2
ref_mOTU_v31_01588	Eikenella sp. NML130454	1795832	1
ref_mOTU_v31_01589	Prevotella nigrescens	28133	4
ref_mOTU_v31_01591	Streptococcus sanguinis	1305	5
ref_mOTU_v31_01716	Prevotella pleuritidis	407975	1
ref_mOTU_v31_01835	Haemophilus paraphrohaemolyticus	736	6
ref_mOTU_v31_01836	Haemophilus parahaemolyticus	735	5
ref_mOTU_v31_01840	Prevotella veroralis	28137	37
ref_mOTU_v31_01841	Prevotella sp. oral taxon 306	712461	652
ref_mOTU_v31_01910	Isoptericola variabilis [Actinomyces sp. HPA0247/Isoptericola variabilis]	139208	3
ref_mOTU_v31_01911	Actinobacteria sp. [Schaalia odontolytica/Actinomyces sp. HMSC035G02/Xylanimonas cellulosilytica/Sanguibacter keddieii/Actinomyces sp. ICM54]	NA	11
ref_mOTU_v31_01912	Actinomyces sp. ICM39	1105029	4
ref_mOTU_v31_01913	Actinomyces sp. [Actinomyces sp. ICM58/Actinomyces sp. oral taxon 172]	NA	5
ref_mOTU_v31_01914	Actinomyces sp. ICM47	936548	8
ref_mOTU_v31_01938	Veillonella parvula [Veillonella parvula/Veillonella sp. 6_1_27/Veillonella sp. 3_1_44]	29466	26
ref_mOTU_v31_01939	Veillonella rogosae [Veillonella rogosae/Veillonella sp. oral taxon 158]	423477	71
ref_mOTU_v31_01940	Veillonella dispar	39778	274
ref_mOTU_v31_01941	Veillonella atypica [Veillonella sp. HPA0037/Veillonella atypica/Veillonella sp. ACP1/Veillonella sp. ICM51a]	39777	837
ref_mOTU_v31_01942	Veillonella tobetsuensis	1110546	6
ref_mOTU_v31_01958	Slackia exigua [Slackia sp. CM382/Slackia exigua]	84109	3
ref_mOTU_v31_02018	Actinomyces naeslundii	1655	2
ref_mOTU_v31_02019	Actinomyces oris	544580	9
ref_mOTU_v31_02041	Actinobacteria sp. [Actinomyces sp. ph3/Trueperella pyogenes/Streptomyces cattleya/Actinomyces sp. oral taxon 181]	NA	7
ref_mOTU_v31_02297	Leptotrichia massiliensis [Leptotrichia massiliensis/Leptotrichia sp. oral taxon 225]	1852388	2
ref_mOTU_v31_02298	Leptotrichia hofstadii	157688	3
ref_mOTU_v31_02299	Leptotrichia buccalis	40542	2
ref_mOTU_v31_02300	Leptotrichia sp. oral taxon 879	1227267	6
ref_mOTU_v31_02302	Leptotrichia wadei	157687	7
ref_mOTU_v31_02392	Prevotella intermedia	28131	6
ref_mOTU_v31_02395	Prevotella conceptionensis [Prevotella sp. HMSC073D09/Prevotella conceptionensis/Prevotella sp. oral taxon 317]	340486	4
ref_mOTU_v31_02398	Prevotella nanceiensis [Prevotella nanceiensis/Prevotella sp. oral taxon 299]	425941	5
ref_mOTU_v31_02399	Prevotella oris [Prevotella sp. HMSC077E09/Prevotella sp. HMSC069G02/Prevotella sp. HMSC077E08/Prevotella oris]	28135	2
ref_mOTU_v31_02442	Solobacterium moorei	102148	2
ref_mOTU_v31_02523	Porphyromonas somerae [Porphyromonadaceae bacterium KA00676/Porphyromonas somerae/Porphyromonas sp. oral taxon 279/Porphyromonas sp. KLE 1280]	322095	29
ref_mOTU_v31_02524	Rothia aeria/dentocariosa	NA	17
ref_mOTU_v31_02794	Prevotella scopos	589437	5
ref_mOTU_v31_02795	Prevotella melaninogenica [Prevotella sp. ICM33/Prevotella melaninogenica]	28132	586
ref_mOTU_v31_02797	Prevotella sp. C561	563031	167
ref_mOTU_v31_02949	Atopobium parvulum [Atopobium sp. ICM42b/Atopobium parvulum/Atopobium sp. BS2]	1382	8
ref_mOTU_v31_03484	Prevotella oulorum	28136	8
ref_mOTU_v31_03485	Prevotella sp. HJM029	1433844	44
ref_mOTU_v31_03486	Prevotella histicola	470565	635
ref_mOTU_v31_03518	Campylobacter concisus [Campylobacter concisus/Campylobacter sp. 10_1_50]	199	88
ref_mOTU_v31_03846	Actinomyces marseillensis/pacaensis [Actinomyces sp. S6-Spd3/Actinomyces marseillensis/Actinomyces pacaensis]	NA	6
ref_mOTU_v31_03966	Streptococcus cristatus	45634	8
ref_mOTU_v31_03967	Streptococcus cristatus	45634	6
ref_mOTU_v31_03969	Streptococcus gordonii [Streptococcus gordonii/Streptococcus sp. oral taxon 056]	1302	3
ref_mOTU_v31_03970	Streptococcus gordonii	1302	21
ref_mOTU_v31_04048	Aggregatibacter aphrophilus	732	4
ref_mOTU_v31_04049	Aggregatibacter segnis	739	1
ref_mOTU_v31_04050	Aggregatibacter sp. oral taxon 458	712148	7
ref_mOTU_v31_04051	Leptotrichia sp. oral taxon 215	712359	39
ref_mOTU_v31_04052	Leptotrichia sp. oral taxon 212	712357	3
ref_mOTU_v31_04054	Actinomyces graevenitzii	55565	180
ref_mOTU_v31_04194	Gemella haemolysans	1379	57
ref_mOTU_v31_04195	Staphylococcaceae sp. [Gemella haemolysans/Staphylococcus pasteuri]	NA	92
ref_mOTU_v31_04252	Prevotella salivae	228604	238
ref_mOTU_v31_04303	Gemella sanguinis	84135	205
ref_mOTU_v31_04782	Granulicatella adiacens [Granulicatella sp. HMSC30F09/Granulicatella sp. HMSC31F03/Granulicatella sp. 572.rep1_STHE/Granulicatella sp. 572.rep2_STHE/Granulicatella adiacens]	46124	7
ref_mOTU_v31_04783	Streptococcus sp. 263_SSPC	1579343	54
ref_mOTU_v31_04788	Abiotrophia defectiva [Abiotrophia sp. HMSC24B09/Abiotrophia defectiva]	46125	60
ref_mOTU_v31_04790	Neisseria elongata [Neisseria sp. HMSC31F04/Neisseria elongata]	495	4
ref_mOTU_v31_04794	Neisseria sp. [Neisseria sp. HMSC066H01/Neisseria sp. HMSC078C12/Neisseria sp. HMSC061B04/Neisseria sp. HMSC070A01/Neisseria lactamica/Neisseria meningitidis/Neisseria mucosa]	NA	22
ref_mOTU_v31_04795	Neisseria meningitidis [Neisseria sp. HMSC065C04/Neisseria meningitidis]	487	10
ref_mOTU_v31_04796	Neisseria subflava/meningitidis [Neisseria sp. HMSC072B12/Neisseria sp. HMSC058F07/Neisseria sp. HMSC075C12/Neisseria sp. HMSC063B05/Neisseria sp. HMSC071A01/Neisseria sp. HMSC067H04/Neisseria sp. HMSC067G12/Neisseria sp. HMSC067G11/Neisseria sp. HMSC068C12/Neisseria subflava/Neisseria meningitidis]	NA	5
ref_mOTU_v31_04797	Neisseria flavescens [Neisseria sp. HMSC064D07/Neisseria flavescens]	484	5
ref_mOTU_v31_04798	Neisseria sp. [Neisseria sp. HMSC15G01/Neisseria sp. HMSC064F03/Neisseria sp. HMSC078H04/Neisseria sp. HMSC056A04/Neisseria sp. HMSC070H10/Neisseria sp. HMSC072C05/Neisseria sp. HMSC066F04/Neisseria sp. HMSC061H08/Neisseria sp. HMSC068C04/Neisseria sp. HMSC061E12/Neisseria sp. HMSC073G10/Neisseria sp. HMSC069H12/Neisseria sp. HMSC066B07/Neisseria sp. HMSC075C10/Neisseria sp. HMSC056A03/Neisseria flavescens/Neisseria lactamica/Neisseria meningitidis]	NA	124
ref_mOTU_v31_04800	Rothia dentocariosa [Rothia sp. HMSC08A08/Rothia sp. HMSC071F11/Rothia sp. HMSC058E10/Rothia sp. HMSC064D08/Rothia sp. HMSC067H10/Rothia sp. HMSC065G12/Rothia sp. HMSC036D11/Rothia sp. HMSC069C01/Rothia sp. HMSC065D02/Rothia dentocariosa]	2047	42
ref_mOTU_v31_05265	Rothia mucilaginosa [Rothia sp. HMSC071B01/Rothia sp. HMSC078H08/Rothia sp. HMSC065C03/Rothia sp. HMSC061D12/Rothia sp. HMSC069D01/Rothia sp. HMSC064F07/Rothia sp. HMSC075F09/Rothia sp. HMSC062H08/Rothia sp. HMSC065C12/Rothia sp. HMSC069C10/Rothia sp. HMSC065B04/Rothia sp. HMSC069C04/Rothia sp. HMSC073B08/Rothia sp. HMSC066G02/Rothia sp. HMSC068E02/Rothia sp. HMSC061E04/Rothia sp. HMSC072B04/Rothia sp. HMSC071C12/Rothia sp. HMSC066G07/Rothia sp. HMSC076D04/Rothia sp. HMSC066H02/Rothia sp. HMSC065D09/Rothia sp. HMSC061C12/Rothia mucilaginosa]	43675	411
ref_mOTU_v31_06128	Cardiobacterium hominis	2718	3
ref_mOTU_v31_06321	Lachnoanaerobaculum saburreum [Lachnoanaerobaculum saburreum/Lachnospiraceae bacterium oral taxon 082]	467210	6
ref_mOTU_v31_06365	Selenomonas sputigena [Selenomonas sputigena/Selenomonas sp. CM52]	69823	7
ref_mOTU_v31_06367	Corynebacterium matruchotii	43768	10
ref_mOTU_v31_06382	Selenomonas noxia	135083	1
ref_mOTU_v31_06402	Selenomonas sp. [Selenomonas sp. oral taxon 149/Selenomonas sp. oral taxon 478/Selenomonas sp. oral taxon 136]	NA	21
ref_mOTU_v31_06403	Selenomonas flueggei	135080	113
ref_mOTU_v31_06446	Oribacterium asaccharolyticum [Oribacterium asaccharolyticum/Oribacterium sp. oral taxon 108]	1501332	3
ref_mOTU_v31_06466	[Eubacterium] sulci	143393	38
ref_mOTU_v31_06478	Lachnoanaerobaculum sp. [Lachnoanaerobaculum sp. ICM7/Lachnoanaerobaculum sp. OBRC5-5/Lachnoanaerobaculum sp. MSX33]	NA	1
ref_mOTU_v31_06543	Corynebacterium durum	61592	6
ref_mOTU_v31_08897	Ottowia sp. oral taxon 894	1658672	1
ref_mOTU_v31_11445	Neisseria cinerea	483	5
ref_mOTU_v31_11465	Porphyromonas endodontalis	28124	2
ref_mOTU_v31_11466	Capnocytophaga gingivalis	1017	2
ref_mOTU_v31_11495	Gemella morbillorum	29391	24
ref_mOTU_v31_11576	Oribacterium sinus	237576	3
ref_mOTU_v31_11595	[Eubacterium] saphenum	51123	1
ref_mOTU_v31_11628	Granulicatella elegans	137732	72
ref_mOTU_v31_11629	Alloprevotella tannerae	76122	2
ref_mOTU_v31_11632	Kingella oralis	505	1
ref_mOTU_v31_11761	Alloprevotella rava	671218	99
ref_mOTU_v31_11823	Megasphaera micronuciformis	187326	177
ref_mOTU_v31_11939	Stomatobaculum longum	796942	37
ref_mOTU_v31_12053	Kingella denitrificans	502	4
ref_mOTU_v31_12220	Prevotella pallens	60133	324
meta_mOTU_v31_12274	Flavobacteriaceae species incertae sedis	NA	3
meta_mOTU_v31_12290	Mogibacterium species incertae sedis	NA	40
meta_mOTU_v31_12312	Bacteroidales species incertae sedis	NA	2
meta_mOTU_v31_12337	Peptostreptococcaceae species incertae sedis	NA	9
meta_mOTU_v31_12358	Flavobacteriaceae species incertae sedis	NA	3
meta_mOTU_v31_12359	Bacteroidales species incertae sedis	NA	175
meta_mOTU_v31_12387	Solobacterium species incertae sedis	NA	28
meta_mOTU_v31_12392	Tannerella sp. oral taxon HOT-286	712710	8
meta_mOTU_v31_12409	Bacteria species incertae sedis	NA	1
meta_mOTU_v31_12444	Bacteria species incertae sedis	NA	57
meta_mOTU_v31_12472	Prevotella species incertae sedis	NA	9
meta_mOTU_v31_12478	Clostridium species incertae sedis	NA	53
meta_mOTU_v31_12488	Oribacterium species incertae sedis	NA	5
meta_mOTU_v31_12532	Bacteroidales species incertae sedis	NA	68
meta_mOTU_v31_12582	Catonella morbi	43997	5
meta_mOTU_v31_12593	Capnocytophaga species incertae sedis	NA	1
meta_mOTU_v31_12605	Stomatobaculum longum	796942	8
meta_mOTU_v31_12620	Prevotella species incertae sedis	NA	9
meta_mOTU_v31_12689	Bacteria species incertae sedis	NA	21
meta_mOTU_v31_12734	Bacteria species incertae sedis	NA	5
meta_mOTU_v31_12764	Pasteurellaceae species incertae sedis	NA	3
meta_mOTU_v31_12777	Clostridiales species incertae sedis	NA	16
meta_mOTU_v31_12807	Lactobacillales species incertae sedis	NA	110
meta_mOTU_v31_12847	Bacteria species incertae sedis	NA	34
meta_mOTU_v31_12865	Porphyromonadaceae species incertae sedis	NA	1
meta_mOTU_v31_12918	Bacteria species incertae sedis	NA	9
meta_mOTU_v31_12929	Leptotrichia sp. oral taxon 847	1785996	5
meta_mOTU_v31_12931	Lautropia mirabilis	47671	4
meta_mOTU_v31_12961	Leptotrichia species incertae sedis	NA	2
meta_mOTU_v31_12990	Porphyromonadaceae species incertae sedis	NA	3
meta_mOTU_v31_13055	Firmicutes species incertae sedis	NA	50
meta_mOTU_v31_13062	Prevotellaceae species incertae sedis	NA	1
meta_mOTU_v31_13077	Clostridium species incertae sedis	NA	2
meta_mOTU_v31_13094	Flavobacteriaceae species incertae sedis	NA	3
meta_mOTU_v31_13135	Veillonella species incertae sedis	NA	381
meta_mOTU_v31_13218	Pasteurellaceae species incertae sedis	NA	6
meta_mOTU_v31_13222	Pseudopropionibacterium propionicum	1750	1
meta_mOTU_v31_13253	Pasteurellaceae species incertae sedis	NA	10
meta_mOTU_v31_13327	Oribacterium species incertae sedis	NA	1
meta_mOTU_v31_13394	Bacteria species incertae sedis	NA	5
meta_mOTU_v31_13483	Bacteria species incertae sedis	NA	14
meta_mOTU_v31_13658	Bacteroidia species incertae sedis	NA	2
meta_mOTU_v31_13934	Neisseriaceae species incertae sedis	NA	2
meta_mOTU_v31_14352	Bacteria species incertae sedis	NA	8
meta_mOTU_v31_14387	Clostridiales species incertae sedis	NA	11
meta_mOTU_v31_14453	Bacteria species incertae sedis	NA	2
ext_mOTU_v31_17439	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_17443	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_17444	Streptococcus species incertae sedis	NA	3
ext_mOTU_v31_17463	Actinomyces species incertae sedis	NA	1
ext_mOTU_v31_17471	Streptococcus species incertae sedis	NA	4
ext_mOTU_v31_17472	Streptococcus species incertae sedis	NA	5
ext_mOTU_v31_17473	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_17848	Candidatus Saccharibacteria species incertae sedis	NA	19
ext_mOTU_v31_17849	Candidatus Saccharibacteria species incertae sedis	NA	17
ext_mOTU_v31_17850	Candidatus Saccharibacteria species incertae sedis	NA	11
ext_mOTU_v31_17851	Candidatus Saccharibacteria species incertae sedis	NA	25
ext_mOTU_v31_17852	Candidatus Saccharibacteria species incertae sedis	NA	41
ext_mOTU_v31_17853	Candidatus Saccharibacteria species incertae sedis	NA	3
ext_mOTU_v31_17854	Candidatus Saccharibacteria species incertae sedis	NA	12
ext_mOTU_v31_17855	Candidatus Saccharibacteria species incertae sedis	NA	10
ext_mOTU_v31_17856	Candidatus Saccharibacteria species incertae sedis	NA	8
ext_mOTU_v31_17857	Candidatus Saccharibacteria species incertae sedis	NA	44
ext_mOTU_v31_17858	Candidatus Saccharibacteria species incertae sedis	NA	6
ext_mOTU_v31_17914	Veillonella species incertae sedis	NA	4
ext_mOTU_v31_17915	Veillonella species incertae sedis	NA	9
ext_mOTU_v31_18018	Actinomyces species incertae sedis	NA	3
ext_mOTU_v31_18022	Streptococcus species incertae sedis	NA	11
ext_mOTU_v31_18023	Streptococcus species incertae sedis	NA	9
ext_mOTU_v31_18024	Streptococcus species incertae sedis	NA	8
ext_mOTU_v31_18027	Actinomyces species incertae sedis	NA	20
ext_mOTU_v31_18159	Leptotrichia species incertae sedis	NA	289
ext_mOTU_v31_18234	Gemella species incertae sedis	NA	1
ext_mOTU_v31_18279	Aggregatibacter species incertae sedis	NA	1
ext_mOTU_v31_19620	Prevotellaceae species incertae sedis	NA	25
ext_mOTU_v31_19642	Erysipelotrichaceae species incertae sedis	NA	20
ext_mOTU_v31_19643	Granulicatella species incertae sedis	NA	57
ext_mOTU_v31_19644	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_19648	Aggregatibacter species incertae sedis	NA	1
ext_mOTU_v31_19650	Aggregatibacter species incertae sedis	NA	1
ext_mOTU_v31_19651	Aggregatibacter species incertae sedis	NA	1
ext_mOTU_v31_19653	Aggregatibacter species incertae sedis	NA	2
ext_mOTU_v31_19656	Veillonella species incertae sedis	NA	4
ext_mOTU_v31_19663	Neisseria species incertae sedis	NA	4
ext_mOTU_v31_19670	Streptococcus species incertae sedis	NA	4
ext_mOTU_v31_19671	Streptococcus species incertae sedis	NA	4
ext_mOTU_v31_19672	Gammaproteobacteria species incertae sedis	NA	1
ext_mOTU_v31_19708	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_19709	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_19712	Candidatus Saccharibacteria species incertae sedis	NA	5
ext_mOTU_v31_19713	Candidatus Saccharibacteria species incertae sedis	NA	5
ext_mOTU_v31_19715	Candidatus Saccharibacteria species incertae sedis	NA	6
ext_mOTU_v31_19718	Bacteria species incertae sedis	NA	4
ext_mOTU_v31_19737	Campylobacter species incertae sedis	NA	2
ext_mOTU_v31_19738	Bacteria species incertae sedis	NA	2
ext_mOTU_v31_19739	Bacteria species incertae sedis	NA	2
ext_mOTU_v31_19746	Actinomyces species incertae sedis	NA	26
ext_mOTU_v31_26698	Streptococcus species incertae sedis	NA	3
ext_mOTU_v31_26700	Streptococcus species incertae sedis	NA	7
ext_mOTU_v31_26808	Haemophilus species incertae sedis	NA	3
ext_mOTU_v31_26850	Streptococcus species incertae sedis	NA	16
ext_mOTU_v31_26865	Haemophilus species incertae sedis	NA	1
ext_mOTU_v31_26916	Veillonella species incertae sedis	NA	1
ext_mOTU_v31_26926	Candidatus Saccharibacteria species incertae sedis	NA	21
ext_mOTU_v31_26956	Haemophilus species incertae sedis	NA	2
ext_mOTU_v31_27080	Haemophilus species incertae sedis	NA	1
ext_mOTU_v31_27168	Actinomyces species incertae sedis	NA	2
ext_mOTU_v31_27189	Candidatus Saccharibacteria species incertae sedis	NA	25
ext_mOTU_v31_27193	Atopobium species incertae sedis	NA	2
ext_mOTU_v31_27194	Gemella species incertae sedis	NA	29
ext_mOTU_v31_27195	Granulicatella species incertae sedis	NA	11
ext_mOTU_v31_27196	Streptococcus species incertae sedis	NA	2
ext_mOTU_v31_27237	Streptococcus species incertae sedis	NA	3
ext_mOTU_v31_28185	Streptococcus species incertae sedis	NA	5
ext_mOTU_v31_29350	Prevotella species incertae sedis	NA	11
ext_mOTU_v31_29389	Capnocytophaga species incertae sedis	NA	2
ext_mOTU_v31_29403	Aggregatibacter species incertae sedis	NA	1
ext_mOTU_v31_29404	Haemophilus species incertae sedis	NA	16
ext_mOTU_v31_29409	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_29417	Megasphaera species incertae sedis	NA	4
ext_mOTU_v31_29427	Selenomonas species incertae sedis	NA	91
ext_mOTU_v31_29429	Streptococcus species incertae sedis	NA	2
ext_mOTU_v31_29435	Streptococcus species incertae sedis	NA	3
ext_mOTU_v31_29437	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_29438	Streptococcus species incertae sedis	NA	5
ext_mOTU_v31_29439	Kingella species incertae sedis	NA	2
ext_mOTU_v31_29442	Selenomonas species incertae sedis	NA	3
ext_mOTU_v31_29444	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_29445	Streptococcus species incertae sedis	NA	4
ext_mOTU_v31_29453	Gemella species incertae sedis	NA	26
