#Classification	GQ17b_bracken_F.kreport
k__Bacteria	8441690
k__Bacteria|p__Firmicutes	5783073
k__Bacteria|p__Firmicutes|c__Bacilli	4513841
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4513690
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	3666550
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	91847
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	140153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	692
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	614445
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	109
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	42
k__Bacteria|p__Firmicutes|c__Negativicutes	1186421
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1171282
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	1171282
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	15138
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	15138
k__Bacteria|p__Firmicutes|c__Clostridia	79680
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	79680
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	74084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	1434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	3963
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	180
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	10
k__Bacteria|p__Firmicutes|c__Tissierellia	2630
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2630
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2630
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	500
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	500
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	500
k__Bacteria|p__Actinobacteria	414361
k__Bacteria|p__Actinobacteria|c__Actinomycetia	414177
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	388165
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	388161
