#Classification	W-2-TORTOR-G_bracken_C.kreport
k__Bacteria	384
k__Bacteria|p__Proteobacteria	367
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	35
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	82
k__Bacteria|p__Actinobacteria	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia	11
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Acidobacteria	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3
k__Bacteria|p__Bacteroidetes	2
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2
k__Eukaryota	21
k__Eukaryota|k__Viridiplantae	21
k__Eukaryota|k__Viridiplantae|p__Streptophyta	21
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	21
