run_accession	study_accession	library_name	library_strategy	run_alias	fastq_ftp	sample_alias	sample_title
SRR19064319	PRJNA834801	DP469	WGS	DP469_UAB832_S67_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064319/SRR19064319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064319/SRR19064319_2.fastq.gz	DP469	human gut metagenome
SRR19064324	PRJNA834801	DP464	WGS	DP464_UAB832_S64_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064324/SRR19064324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064324/SRR19064324_2.fastq.gz	DP464	human gut metagenome
SRR19064325	PRJNA834801	DP463	WGS	DP463_UAB832_S63_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064325/SRR19064325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064325/SRR19064325_2.fastq.gz	DP463	human gut metagenome
SRR19064335	PRJNA834801	DP379	WGS	DP379_UAB832_S71_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064335/SRR19064335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064335/SRR19064335_2.fastq.gz	DP379	human gut metagenome
SRR19064339	PRJNA834801	DP375	WGS	DP375_UAB832_S58_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064339/SRR19064339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064339/SRR19064339_2.fastq.gz	DP375	human gut metagenome
SRR19064346	PRJNA834801	DP362	WGS	DP362_UAB832_S51_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/046/SRR19064346/SRR19064346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/046/SRR19064346/SRR19064346_2.fastq.gz	DP362	human gut metagenome
SRR19064348	PRJNA834801	DP264	WGS	DP264_S260_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064348/SRR19064348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064348/SRR19064348_2.fastq.gz	DP264	human gut metagenome
SRR19064349	PRJNA834801	DP263	WGS	DP263_S259_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064349/SRR19064349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064349/SRR19064349_2.fastq.gz	DP263	human gut metagenome
SRR19064351	PRJNA834801	DP265	WGS	DP265_S261_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/051/SRR19064351/SRR19064351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/051/SRR19064351/SRR19064351_2.fastq.gz	DP265	human gut metagenome
SRR19064355	PRJNA834801	DC061	WGS	DC061_S236_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064355/SRR19064355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064355/SRR19064355_2.fastq.gz	DC061	human gut metagenome
SRR19064356	PRJNA834801	DP255	WGS	DP255_S253_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/056/SRR19064356/SRR19064356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/056/SRR19064356/SRR19064356_2.fastq.gz	DP255	human gut metagenome
SRR19064357	PRJNA834801	DP254	WGS	DP254_S252_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064357/SRR19064357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064357/SRR19064357_2.fastq.gz	DP254	human gut metagenome
SRR19064360	PRJNA834801	DP252	WGS	DP252_S250_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064360/SRR19064360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064360/SRR19064360_2.fastq.gz	DP252	human gut metagenome
SRR19064363	PRJNA834801	DP246	WGS	DP246_S244_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19064363/SRR19064363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19064363/SRR19064363_2.fastq.gz	DP246	human gut metagenome
SRR19064366	PRJNA834801	DP243	WGS	DP243_S241_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064366/SRR19064366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064366/SRR19064366_2.fastq.gz	DP243	human gut metagenome
SRR19064368	PRJNA834801	DP241	WGS	DP241_S239_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/068/SRR19064368/SRR19064368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/068/SRR19064368/SRR19064368_2.fastq.gz	DP241	human gut metagenome
SRR19064369	PRJNA834801	DP240	WGS	DP240_S238_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064369/SRR19064369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064369/SRR19064369_2.fastq.gz	DP240	human gut metagenome
SRR19064371	PRJNA834801	DC156	WGS	DC156_S362_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/071/SRR19064371/SRR19064371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/071/SRR19064371/SRR19064371_2.fastq.gz	DC156	human gut metagenome
SRR19064376	PRJNA834801	DC152	WGS	DC152_S358_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/076/SRR19064376/SRR19064376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/076/SRR19064376/SRR19064376_2.fastq.gz	DC152	human gut metagenome
SRR19064380	PRJNA834801	DC148	WGS	DC148_S354_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/080/SRR19064380/SRR19064380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/080/SRR19064380/SRR19064380_2.fastq.gz	DC148	human gut metagenome
SRR19064381	PRJNA834801	DC150	WGS	DC150_S356_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/081/SRR19064381/SRR19064381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/081/SRR19064381/SRR19064381_2.fastq.gz	DC150	human gut metagenome
SRR19064384	PRJNA834801	DC141	WGS	DC141_S347_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064384/SRR19064384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064384/SRR19064384_2.fastq.gz	DC141	human gut metagenome
SRR19064386	PRJNA834801	DC138	WGS	DC138_S344_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/086/SRR19064386/SRR19064386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/086/SRR19064386/SRR19064386_2.fastq.gz	DC138	human gut metagenome
SRR19064388	PRJNA834801	DC136	WGS	DC136_S342_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/088/SRR19064388/SRR19064388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/088/SRR19064388/SRR19064388_2.fastq.gz	DC136	human gut metagenome
SRR19064390	PRJNA834801	DC135	WGS	DC135_S341_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064390/SRR19064390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064390/SRR19064390_2.fastq.gz	DC135	human gut metagenome
SRR19064391	PRJNA834801	DC015	WGS	DC015_S88_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064391/SRR19064391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064391/SRR19064391_2.fastq.gz	DC015	human gut metagenome
SRR19064392	PRJNA834801	DP108	WGS	DP108_S107_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064392/SRR19064392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064392/SRR19064392_2.fastq.gz	DP108	human gut metagenome
SRR19064394	PRJNA834801	DP104	WGS	DP104_S103_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064394/SRR19064394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064394/SRR19064394_2.fastq.gz	DP104	human gut metagenome
SRR19064398	PRJNA834801	DP100	WGS	DP100_S99_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064398/SRR19064398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064398/SRR19064398_2.fastq.gz	DP100	human gut metagenome
SRR19064399	PRJNA834801	DP098	WGS	DP098_S97_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064399/SRR19064399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064399/SRR19064399_2.fastq.gz	DP098	human gut metagenome
SRR19064400	PRJNA834801	DP096	WGS	DP096_S95_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064400/SRR19064400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064400/SRR19064400_2.fastq.gz	DP096	human gut metagenome
SRR19064405	PRJNA834801	DP094	WGS	DP094_S93_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064405/SRR19064405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064405/SRR19064405_2.fastq.gz	DP094	human gut metagenome
SRR19064406	PRJNA834801	DP090	WGS	DP090_S89_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064406/SRR19064406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064406/SRR19064406_2.fastq.gz	DP090	human gut metagenome
SRR19064407	PRJNA834801	DP088	WGS	DP088_S87_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064407/SRR19064407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064407/SRR19064407_2.fastq.gz	DP088	human gut metagenome
SRR19064412	PRJNA834801	DP082	WGS	DP082_S81_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064412/SRR19064412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064412/SRR19064412_2.fastq.gz	DP082	human gut metagenome
