#Classification	S-6-POLCOM-G_bracken_O.kreport
k__Bacteria	11141
k__Bacteria|p__Proteobacteria	9674
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6423
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	6423
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1817
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1271
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	347
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	964
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	464
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1
k__Bacteria|p__Actinobacteria	1210
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1210
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	241
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	697
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	40
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	227
k__Bacteria|p__Cyanobacteria	25
k__Bacteria|p__Cyanobacteria|o__Nostocales	25
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	198
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	198
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	198
k__Bacteria|p__Bacteroidetes	31
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	30
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	30
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1
k__Eukaryota	750
k__Eukaryota|k__Viridiplantae	610
k__Eukaryota|k__Viridiplantae|p__Streptophyta	610
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	607
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	607
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	1
k__Eukaryota|k__Metazoa	84
k__Eukaryota|k__Metazoa|p__Chordata	84
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	84
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	84
k__Eukaryota|k__Fungi	55
k__Eukaryota|k__Fungi|p__Ascomycota	55
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	34
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	34
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	21
