feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	NAFLD	Negative	0.327078623147727	0.0708885545656973	35	35	5.72634697651201e-05	0.00636835076683473
Lachnospiraceae	NAFLD	Negative	-0.270712222900208	0.0618333176876444	35	35	0.000113720549407763	0.00636835076683473
Bacillaceae	NAFLD	Negative	-0.00207079590518739	0.000607354278836948	35	35	0.00173285856001858	0.0443342928662096
Nanosynbacteraceae	NAFLD	Negative	-0.00219822093821544	0.00066771515906636	35	35	0.00237505140354694	0.0443342928662096
Streptococcaceae	NAFLD	Negative	-0.0596765601685973	0.0178180406883736	35	35	0.00203859994468778	0.0443342928662096
Tannerellaceae	NAFLD	Negative	0.0801710944322105	0.0233069705548479	35	35	0.00159659232013796	0.0443342928662096
Odoribacteraceae	NAFLD	Negative	0.0326619783063315	0.0103319876879377	35	35	0.00335883222651934	0.0537413156243094
Bifidobacteriaceae	NAFLD	Negative	-0.157689010151045	0.0510580703496409	35	35	0.00406315860145619	0.0568842204203867
Aerococcaceae	NAFLD	Negative	-0.00201219747791484	0.000671744045585124	35	30	0.00516673899983402	0.0642971964423789
Acetobacteraceae	NAFLD	Negative	-0.00248128261278648	0.00084551595094376	35	35	0.00603662472585493	0.0676101969295752
Carnobacteriaceae	NAFLD	Negative	-0.00272547086795041	0.000990451444200531	35	35	0.00955409689553819	0.0972780774818434
Burkholderiaceae	NAFLD	Negative	-0.0131439921114227	0.00491475160663167	35	28	0.0115541785626899	0.107444109079367
Methylobacteriaceae	NAFLD	Negative	-0.00317052420002991	0.00119958400343245	35	16	0.0124711912324266	0.107444109079367
Vallitaleaceae	NAFLD	Negative	-0.000712241845145289	0.000279930891202693	35	32	0.015811982207988	0.126495857663904
Peptostreptococcaceae	NAFLD	Negative	-0.0375022531521876	0.015062793383617	35	35	0.0179979141683003	0.134384425789976
Coriobacteriaceae	NAFLD	Negative	-0.0725856372611716	0.0295036002641265	35	35	0.01929037928097	0.13503265496679
Bradyrhizobiaceae	NAFLD	Negative	-0.00355616541794369	0.00154331854196687	35	13	0.0276432894721193	0.164715507392184
Micrococcaceae	NAFLD	Negative	-0.00291699572555852	0.00125327440219555	35	35	0.0262190000185012	0.164715507392184
Pseudomonadaceae	NAFLD	Negative	0.00539748173705834	0.0023472637976922	35	34	0.0279428092897455	0.164715507392184
Barnesiellaceae	NAFLD	Negative	0.00590972105257133	0.00266871760986352	35	34	0.033816326326285	0.180353740406854
Prevotellaceae	NAFLD	Negative	0.137359277911677	0.0615691088924442	35	35	0.0325943397444729	0.180353740406854
Erysipelotrichaceae	NAFLD	Negative	-0.046249399937525	0.0214663271450693	35	35	0.0385958473599371	0.193511194192278
Phyllobacteriaceae	NAFLD	Negative	-0.011814909060101	0.00551799436082034	35	20	0.0397389059501999	0.193511194192278
Acidaminococcaceae	NAFLD	Negative	0.0296288275294794	0.0143314547416697	35	35	0.0466122518857551	0.198924502946275
Actinomycetaceae	NAFLD	Negative	-0.005510601777553	0.00270518400182699	35	35	0.0497311257365686	0.198924502946275
Fervidobacteriaceae	NAFLD	Negative	-0.00019778332072546	9.58292214165511e-05	35	8	0.0469613580454443	0.198924502946275
Geobacteraceae	NAFLD	Negative	-0.000459165180050172	0.000221076088396886	35	16	0.0456663073402925	0.198924502946275
Treponemataceae	NAFLD	Negative	-0.00345746550443073	0.0016954888428089	35	35	0.0495030056336941	0.198924502946275
Flavobacteriaceae	NAFLD	Negative	0.000473970046300175	0.000239867351007556	35	18	0.0565682256319391	0.218470388647489
Lactobacillaceae	NAFLD	Negative	-0.0434767885851325	0.0224124444515018	35	35	0.0609843997911298	0.227675092553551
Porphyromonadaceae	NAFLD	Negative	0.00393681502938808	0.0021589792758613	35	35	0.0773026875781779	0.279287129314707
Neisseriaceae	NAFLD	Negative	0.000807596061596692	0.000467625247362007	35	27	0.0935158238618035	0.327305383516312
Rikenellaceae	NAFLD	Negative	0.0419115361315838	0.0248321218892145	35	35	0.100881481654722	0.332820016685015
Yersiniaceae	NAFLD	Negative	-0.00018464241459586	0.000109449809124533	35	5	0.101034647922237	0.332820016685015
Helicobacteraceae	NAFLD	Negative	0.000233227792794213	0.000142380423023927	35	6	0.110910584008144	0.345055150247559
Thermaceae	NAFLD	Negative	-0.000118559989229183	7.2050119600899e-05	35	5	0.109355630289155	0.345055150247559
Gottschalkiaceae	NAFLD	Negative	-0.000185111952481037	0.000116799115227208	35	10	0.122532395397998	0.370908872556101
Tissierellaceae	NAFLD	Negative	-0.00032115548048442	0.000206427317121252	35	24	0.129299927793744	0.381094524023667
Weeksellaceae	NAFLD	Negative	0.00124160639943762	0.000836576983716062	35	35	0.147258653299194	0.422896645372045
