feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusicatenibacter.saccharivorans	NAFLD	Negative	-0.11353402399468	0.0344975887642054	35	18	0.00238192009714271	0.11121623707809
Phocaeicola.vulgatus	NAFLD	Negative	0.150646122189855	0.0465305114424985	35	17	0.00274607992785407	0.11121623707809
Mediterraneibacter.faecis	NAFLD	Negative	-0.0951833758847104	0.0315675771424755	35	11	0.00491090310733933	0.132594383898162
Bifidobacterium.adolescentis	NAFLD	Negative	-0.121524839225575	0.0467539083879186	35	20	0.0138634566307421	0.205506961078382
Blautia.wexlerae	NAFLD	Negative	-0.123719475647102	0.0489679087262607	35	23	0.0164962544763579	0.205506961078382
Dorea.formicigenerans	NAFLD	Negative	-0.0550416776151361	0.0225721055956636	35	11	0.0202969838102105	0.205506961078382
Monoglobus.pectinilyticus	NAFLD	Negative	0.0402832655906369	0.016262486922217	35	5	0.0185426290492448	0.205506961078382
Segatella.copri	NAFLD	Negative	0.155482871962312	0.0613423174688298	35	10	0.0161803954530785	0.205506961078382
Brotolimicola.acetigignens	NAFLD	Negative	-0.0307608290896593	0.0134828401751403	35	4	0.0291032364389907	0.261929127950916
Clostridium.leptum	NAFLD	Negative	0.042971251106881	0.0196227070149085	35	7	0.0357077076844465	0.281071203215891
Lachnospiraceae.bacterium.CLA.AA.H244	NAFLD	Negative	-0.0439267946713492	0.0203405239507622	35	9	0.0381701633996889	0.281071203215891
Anaerobutyricum.soehngenii	NAFLD	Negative	-0.0464141079867412	0.0236647317383775	35	8	0.058324546995444	0.295268019164435
Bacteroides.stercoris	NAFLD	Negative	0.0433233651147972	0.0214396512422475	35	4	0.0514851986873102	0.295268019164435
Clostridiaceae.bacterium	NAFLD	Negative	-0.032299964715979	0.0163052476414102	35	6	0.0559807470053833	0.295268019164435
Clostridium.SGB4750	NAFLD	Negative	0.0323302875826513	0.0154678363531982	35	4	0.0443869524854054	0.295268019164435
GGB3277.SGB4327	NAFLD	Negative	0.055831030506021	0.0273963293638639	35	4	0.0496413977582067	0.295268019164435
Bacteroides.thetaiotaomicron	NAFLD	Negative	0.029149103474164	0.0164851501746785	35	6	0.086271764163628	0.411059582191404
Anaerobutyricum.hallii	NAFLD	Negative	-0.0419990408312819	0.0299210035004534	35	15	0.16975970927484	0.45395409941529
Bacteroides.fragilis	NAFLD	Negative	0.0599594633824693	0.0395621166786863	35	4	0.13914732246179	0.45395409941529
Bifidobacterium.pseudocatenulatum	NAFLD	Negative	-0.0277778708425008	0.0195259785769749	35	5	0.164233667261737	0.45395409941529
Blautia.massiliensis	NAFLD	Negative	-0.047673651035378	0.0342263430728218	35	12	0.172965501055426	0.45395409941529
Dorea.longicatena	NAFLD	Negative	-0.0479333325242502	0.0330497688951757	35	22	0.156403447961038	0.45395409941529
Eubacterium.rectale	NAFLD	Negative	-0.0895255400459004	0.0541048795007081	35	28	0.107474033543984	0.45395409941529
