#Classification	S-9-DICUND-G_bracken_F.kreport
k__Bacteria	22660
k__Bacteria|p__Cyanobacteria	12220
k__Bacteria|p__Cyanobacteria|o__Nostocales	12220
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	10241
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	254
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	1539
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	146
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	37
k__Bacteria|p__Actinobacteria	2858
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2858
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2137
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	2137
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	346
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	346
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	158
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	157
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	125
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	51
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	74
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	90
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	1
k__Bacteria|p__Proteobacteria	7086
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4888
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	4545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	342
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	342
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1811
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1529
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	85
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	99
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	70
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	257
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	257
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	18
