feature	Akkermansia	Alistipes	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Collinsella	Coprococcus	Dialister	Dorea	Eubacterium	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	Gemmiger	Intestinibacter	Lachnospiraceae.unclassified	Lactobacillus	Parabacteroides	Prevotella	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS11	0	0	0	8	3	1	1	0	0	1	0	1	0	0	0	0	0	0	2	17	0	0	0	0
NS13	0	0	4	3	0	3	0	0	0	6	4	6	0	3	1	0	0	0	0	0	0	0	0	1
NS21	0	0	3	11	0	0	0	0	1	1	0	5	0	0	0	0	1	0	1	0	8	1	0	0
NS25	0	1	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0
NS27	0	0	2	5	12	1	2	0	1	0	0	3	0	2	0	0	0	0	2	0	1	1	0	2
NS28	2	0	0	1	2	0	0	0	0	1	2	5	0	0	0	0	0	0	2	17	0	1	0	0
NS29	0	0	1	0	11	3	1	0	0	0	0	4	0	0	2	1	0	0	0	0	1	7	1	0
NS30	0	0	1	2	2	10	0	1	0	1	0	0	0	3	0	0	8	0	0	0	4	0	0	0
NS32	1	0	0	5	1	0	0	4	1	1	6	7	0	0	0	0	0	0	0	5	1	3	0	0
NS34	1	0	0	21	0	2	0	0	0	0	0	1	0	0	0	2	1	0	3	0	0	0	1	0
NS36	5	3	0	7	3	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	0	4	1	0
NS38	3	0	0	8	12	0	1	0	0	1	0	3	1	0	1	0	2	0	0	0	0	2	0	0
NS39	0	3	0	2	7	0	2	1	0	1	3	12	0	0	2	0	0	0	0	0	1	0	0	0
NS4	0	0	0	9	5	0	0	0	0	0	8	6	0	0	0	0	2	0	0	0	4	0	0	0
NS40	0	0	0	1	4	1	3	2	0	2	3	5	0	0	0	0	2	2	2	1	2	0	1	0
NS41	0	2	0	4	0	0	0	1	0	1	0	5	0	0	0	0	3	0	1	16	2	0	0	0
NS46	0	0	0	6	5	1	0	7	0	2	6	0	0	0	0	0	0	0	0	0	2	5	0	0
NS51	0	0	2	1	9	2	2	0	0	0	2	1	0	4	1	1	1	0	0	0	3	6	0	0
NS55	0	0	3	2	2	2	0	1	0	1	2	6	0	1	0	0	2	0	0	0	5	8	0	0
NS58	0	0	2	0	5	5	1	1	0	3	0	1	0	3	0	0	8	0	0	0	3	0	0	1
NS6	0	0	3	13	0	2	0	0	0	2	4	7	0	1	0	0	0	0	0	0	0	0	0	0
NS62	0	0	2	0	2	5	0	0	0	1	2	0	1	3	0	0	8	0	0	0	0	9	0	0
NS67	1	0	0	0	12	5	1	0	2	2	1	1	0	0	1	0	0	0	0	0	1	3	0	0
NS7	0	0	0	0	7	0	6	0	0	1	4	6	0	1	0	0	1	4	0	2	1	1	0	0
NS70	0	0	0	3	3	2	1	1	0	0	4	2	0	1	0	0	14	0	0	2	0	0	0	2
NS71	1	0	0	1	9	5	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	8	1	0
NS72	0	0	0	0	11	1	4	0	0	2	2	0	0	3	0	0	3	9	0	0	0	0	0	0
NS77	0	1	0	4	0	2	0	0	0	1	3	6	1	0	0	0	0	0	1	8	1	0	0	0
NS78	0	0	0	0	5	0	1	6	0	3	4	0	1	2	0	0	5	0	0	0	2	0	0	0
NS79	0	0	1	2	7	1	1	0	0	2	4	6	0	2	0	0	0	0	0	0	0	8	0	0
NS81	0	0	6	0	3	0	0	1	0	3	4	2	0	0	0	2	8	0	0	0	1	3	0	0
NS83	0	1	0	0	0	1	3	0	0	2	2	6	0	0	0	0	0	1	0	2	6	2	0	2
NS86	0	2	3	0	4	3	1	5	0	0	0	11	0	1	0	0	2	0	0	0	2	1	0	0
NS9	0	1	2	5	0	0	0	1	0	1	10	6	0	4	0	0	1	0	0	0	2	2	0	0
