feature	Akkermansia	Alistipes	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Collinsella	Coprococcus	Dialister	Dorea	Eubacterium	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	Gemmiger	Intestinibacter	Lachnospiraceae.unclassified	Lactobacillus	Parabacteroides	Prevotella	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS11	0	0	0	0.235294117647059	0.0882352941176471	0.0294117647058824	0.0294117647058824	0	0	0.0294117647058824	0	0.0294117647058824	0	0	0	0	0	0	0.0588235294117647	0.5	0	0	0	0
NS13	0	0	0.129032258064516	0.0967741935483871	0	0.0967741935483871	0	0	0	0.193548387096774	0.129032258064516	0.193548387096774	0	0.0967741935483871	0.032258064516129	0	0	0	0	0	0	0	0	0.032258064516129
NS21	0	0	0.09375	0.34375	0	0	0	0	0.03125	0.03125	0	0.15625	0	0	0	0	0.03125	0	0.03125	0	0.25	0.03125	0	0
NS25	0	0.032258064516129	0	0.483870967741935	0	0	0	0	0	0	0	0.419354838709677	0	0	0	0	0	0	0.0645161290322581	0	0	0	0	0
NS27	0	0	0.0588235294117647	0.147058823529412	0.352941176470588	0.0294117647058824	0.0588235294117647	0	0.0294117647058824	0	0	0.0882352941176471	0	0.0588235294117647	0	0	0	0	0.0588235294117647	0	0.0294117647058824	0.0294117647058824	0	0.0588235294117647
NS28	0.0606060606060606	0	0	0.0303030303030303	0.0606060606060606	0	0	0	0	0.0303030303030303	0.0606060606060606	0.151515151515152	0	0	0	0	0	0	0.0606060606060606	0.515151515151515	0	0.0303030303030303	0	0
NS29	0	0	0.03125	0	0.34375	0.09375	0.03125	0	0	0	0	0.125	0	0	0.0625	0.03125	0	0	0	0	0.03125	0.21875	0.03125	0
NS30	0	0	0.03125	0.0625	0.0625	0.3125	0	0.03125	0	0.03125	0	0	0	0.09375	0	0	0.25	0	0	0	0.125	0	0	0
NS32	0.0285714285714286	0	0	0.142857142857143	0.0285714285714286	0	0	0.114285714285714	0.0285714285714286	0.0285714285714286	0.171428571428571	0.2	0	0	0	0	0	0	0	0.142857142857143	0.0285714285714286	0.0857142857142857	0	0
NS34	0.03125	0	0	0.65625	0	0.0625	0	0	0	0	0	0.03125	0	0	0	0.0625	0.03125	0	0.09375	0	0	0	0.03125	0
NS36	0.166666666666667	0.1	0	0.233333333333333	0.1	0	0	0	0	0	0.1	0	0	0.0666666666666667	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0.133333333333333	0.0333333333333333	0
